Site_ID,device_number,location_name,latitude,longitude,start_time,end_time,n_obs
1.1,1,Fleet Ave. and East 71st St.,41.456319,-81.639257,2024-11-11T21:30:00Z,2025-08-06T18:30:00Z,1527
1.2,1,East 152nd and Darwin,41.564906,-81.579597,2025-10-06T20:00:00Z,2025-10-28T09:30:00Z,289
11.1,11,East 166th St. and St. Clair Ave.,41.56206,-81.564009,2024-11-01T00:30:00Z,2025-07-27T01:30:00Z,4026
11.2,11,J. Glenn Smith Health Center,41.54031,-81.60699,2025-10-03T19:30:00Z,2025-10-07T10:00:00Z,111
11.3,11,Cleveland Fire #7,41.49008,-81.66335,2025-12-04T13:30:00Z,2025-12-25T11:00:00Z,389
12.1,12,Lakeview Terrace Community Center,41.49409,-81.70976,2024-11-20T19:00:00Z,2025-10-29T09:30:00Z,9734
13.1,13,Detroit Shoreway,41.489571,-81.71175,2024-11-01T17:00:00Z,2025-11-18T22:00:00Z,9157
14.1,14,Fairfax Recreation Center,41.49537,-81.63033,2025-05-12T18:00:00Z,2025-12-31T23:30:00Z,11007
15.1,15,Coit Road and East 131st Street,41.552492,-81.591944,2024-11-01T00:00:00Z,2025-12-31T23:30:00Z,11030
16.1,16,Clark Recreation Center,41.469970000000004,-81.72552,2025-10-07T15:30:00Z,2025-12-31T22:30:00Z,3119
17.1,17,Michael Zone Recreation Center,41.47473,-81.72846,2025-02-28T23:00:00Z,2025-03-28T18:00:00Z,699
17.2,17,GT Craig Monitoring Site Collocated Sensor,41.49212,-81.67856,2025-05-07T19:30:00Z,2025-12-31T23:30:00Z,11104
18.1,18,Cudell Recreation Center,41.47918,-81.75257,2024-11-13T17:30:00Z,2025-04-28T15:00:00Z,7061
18.2,18,East 166th St. and St. Clair Ave.,41.56206,-81.564009,2025-10-06T19:30:00Z,2025-12-31T18:00:00Z,670
19.1,19,Mound Elementary,41.462862,-81.647249,2024-11-01T00:00:00Z,2025-05-20T17:30:00Z,1173
19.2,19,Alexander Hamilton Recreation Center,41.46491,-81.59068,2025-05-30T16:00:00Z,2025-10-01T10:30:00Z,649
19.3,19,Forest City/East 46th Street,41.46274,-81.65997,2025-10-07T03:00:00Z,2025-11-19T14:00:00Z,168
19.4,19,Cleveland Fire #22,41.51902,-81.6377,2025-12-04T17:00:00Z,2025-12-31T21:00:00Z,417
2.1,2,Collinwood Recreation Center,41.57947,-81.56615,2024-11-20T19:00:00Z,2025-12-31T23:30:00Z,13360
20.1,20,Nottingham Road near Railroad Tracks,41.569957,-81.541194,2024-11-01T00:00:00Z,2025-05-23T12:30:00Z,6095
20.2,20,Cleveland Foundation,41.50459,-81.6439,2025-09-17T18:30:00Z,2025-12-24T21:30:00Z,3376
21.1,21,Buckeye Rd. and East 89th St,41.486323,-81.624582,2024-11-07T18:00:00Z,2025-12-31T23:30:00Z,16331
22.1,22,Estabrook Recreation Center,41.44404,-81.72271,2025-05-07T19:30:00Z,2025-12-31T23:30:00Z,11015
23.1,23,Lee/Harvard,41.449672,-81.564,2024-11-07T17:30:00Z,2025-12-31T23:30:00Z,17509
24.1,24,East 152nd and Darwin,41.564906,-81.579597,2024-11-08T17:30:00Z,2025-09-23T05:00:00Z,13671
24.2,24,Forest City/East 46th Street,41.46274,-81.65997,2025-11-20T15:30:00Z,2025-12-28T14:30:00Z,1456
25.1,25,Bessemer by Tremco,41.46717,-81.63003,2024-11-07T20:30:00Z,2025-12-31T22:00:00Z,9728
26.1,26,Cudell Recreation Center,41.47918,-81.75257,2025-05-07T19:30:00Z,2025-12-31T23:30:00Z,9672
27.1,27,East 30th and Perkins,41.50541,-81.66791,2024-11-08T18:00:00Z,2025-10-20T14:00:00Z,10014
27.2,27,East 56th Street and Ferro Avenue,41.446336,-81.650709,2025-12-03T11:00:00Z,2025-12-04T12:00:00Z,10
27.3,27,Cleveland Fire #36,41.46212,-81.59199,2025-12-05T17:00:00Z,2025-12-31T22:00:00Z,419
28.1,28,Metro Health Hospital,41.46308,-81.69823,2024-12-04T18:30:00Z,2025-12-31T23:30:00Z,12013
29.1,29,Gunning Recreation Center,41.43498,-81.81362,2025-05-09T19:30:00Z,2025-12-31T23:30:00Z,11124
3.1,3,Nottingham Water,41.575635,-81.541699,2024-11-01T00:00:00Z,2025-12-31T23:30:00Z,19778
30.1,30,Michael Zone Recreation Center,41.47473,-81.72846,2024-11-13T18:30:00Z,2025-02-27T17:30:00Z,3512
