site_x,site_y,n_overlap,slope,intercept,r2
20.2,11.1_32.1_18.2,79,0.04087692172895566,23.248943319141016,4.996268051080366e-5
24.1_1.2,7.2,12,-0.11901986865679609,7.2359576031406405,0.002045718299243904
28.1,11.1_32.1_18.2,174,-0.35416590396222464,19.164212874927767,0.01546121599281686
19.2,1.1,21,0.025928342005178705,2.847975157141532,0.02366051782871189
15.1,11.1_32.1_18.2,291,0.4237781833137753,10.862292723375385,0.029143090502959833
29.1,13.1_33.2,65,0.31790182262106637,9.16746446851594,0.034861961780610316
13.1_33.2,5.1_19.3_24.2,60,0.09181912093137033,10.628568524794078,0.03488028639772774
34.1_16.1,11.1_32.1_18.2,146,0.3638218766278772,16.139333765220986,0.036447625885777026
34.1_16.1,13.1_33.2,65,0.3142179394214373,9.121008859806457,0.03988676864502799
18.1_26.1,11.1_32.1_18.2,271,0.3327381656463803,10.547937347532363,0.04591075583609818
22.1,13.1_33.2,64,0.4086631757172316,8.29114183989925,0.051425837203625854
22.1,11.1_32.1_18.2,174,0.4841063355382729,12.618122328975918,0.060748250760217996
25.1,11.1_32.1_18.2,261,0.6407809350636167,8.832967269016914,0.06327111580636942
11.1_32.1_18.2,7.2,71,0.08602841426907093,6.951124792195663,0.07010290608379867
14.1,13.1_33.2,65,0.5061184793068375,6.595470775835282,0.07947320429965374
29.1,11.1_32.1_18.2,173,0.6929695897818685,11.163989984602502,0.0835892604856063
32.2,11.1_32.1_18.2,52,1.0855924269277077,22.120283435029293,0.09405053137586687
23.1,11.1_32.1_18.2,284,0.6161513098569587,7.623131185333552,0.09533709959188187
31.2,11.1_32.1_18.2,72,1.1173557400013212,20.71477903950991,0.10337438242554069
14.1,11.1_32.1_18.2,170,0.7125670319159718,11.316922913146392,0.10379346349041242
11.1_32.1_18.2,9.1_17.2,220,0.15498488063362367,7.960370612421288,0.11114687707050701
12.1_5.2,11.1_32.1_18.2,200,0.45848596610249814,6.438290081460433,0.1140913561561643
11.1_32.1_18.2,8.1_34.2,260,0.1858885938498944,6.65180008786996,0.11674434970881592
31.2,24.1_1.2,11,0.2995406101063747,0.8222609361389118,0.1236389516079927
11.1_32.1_18.2,2.1,272,0.16248566141586684,6.531614992646412,0.12394364130234446
21.1,11.1_32.1_18.2,287,0.8875906610959653,6.012421450562802,0.1335582358397316
35.2,11.1_32.1_18.2,60,1.5854535479216805,19.250323761949726,0.1366524664348593
11.1_32.1_18.2,7.1_4.1,287,0.1940999864557498,7.192588038208361,0.1370223277819431
11.1_32.1_18.2,3.1,293,0.13466819277503786,5.505502868722692,0.13881745369637602
28.1,13.1_33.2,185,0.5102863750302304,7.290272704533425,0.14341079344080573
29.1,19.1,10,0.37479250731862906,3.9663680106737735,0.15183034692411185
13.1_33.2,11.1_32.1_18.2,138,0.6498955400007936,6.942101198127129,0.1525831776745796
9.1_17.2,1.1,135,0.39435504684806055,3.8522489576800862,0.155025282169575
11.1_32.1_18.2,5.1_19.3_24.2,108,0.14969612153776513,8.323261728503642,0.15948584601006907
18.1_26.1,13.1_33.2,204,0.38746319167695326,6.76925776571334,0.15972847424132117
11.1_32.1_18.2,9.2,58,0.08165508866483419,4.20392202812962,0.16515394561112226
22.1,19.1,12,0.6891939998809874,3.121316677831016,0.16806099922987733
28.1,9.1_17.2,184,0.45873955811401684,7.463417930831111,0.2020085934945537
13.1_33.2,3.1,224,0.2753112450841219,5.624142744750621,0.21066208436661862
25.1,13.1_33.2,194,0.6255500181841686,5.186377754950054,0.21510341327368876
20.2,13.1_33.2,26,1.2328986018207722,10.311386428918079,0.22499095030230762
15.1,13.1_33.2,218,0.8418907043229352,4.66544523361792,0.23065413167808352
29.1,1.1,56,0.12120782566720618,1.4686795135319044,0.23412651520203756
21.1,13.1_33.2,217,0.7585729333519571,3.7985527176083784,0.2581876977695244
28.1,21.1,274,0.43289952799924003,6.038264969090239,0.2653169628465205
28.1,18.1_26.1,261,0.7122651147272042,6.007336904476884,0.2675255642979184
28.1,7.1_4.1,269,0.6369471071495999,5.899108893329995,0.27925148158534807
13.1_33.2,9.1_17.2,146,0.3878731028998808,6.332560257396748,0.28152934051987405
14.1,1.1,56,0.13967488533960354,1.2785202145249215,0.2827344906145439
22.1,1.1,56,0.14045200485614,1.2320359729951509,0.29070229930820496
23.1,13.1_33.2,217,0.6172861927582636,4.213688809313066,0.2982757023514958
28.1,3.1,275,0.4012590614987306,5.063178901366551,0.2983610005676757
3.1,1.1,160,0.6932544115652295,1.7122242878756857,0.30248513118186016
29.1,20.1,15,0.1914473815061782,3.155166497168275,0.3047937276930222
13.1_33.2,8.1_34.2,209,0.4996063726294172,4.707364492692389,0.3105595940838709
19.1,18.1_26.1,141,0.8226957400257271,3.1536390994662047,0.31146792664055323
13.1_33.2,2.1,194,0.384932062046264,4.97166751061954,0.31815101615576313
13.1_33.2,12.1_5.2,163,0.6142817894962326,4.357520745626078,0.318677951452964
