"site_x","site_y","n_overlap","slope","intercept","r2"
"0065","0045",115,0.47955158429775,2.38152128864188,0.60309302454837
"0045","0038",117,1.01448655731956,1.44827274475674,0.652773887397406
"0073","0065",135,1.47943367798536,1.35118134344077,0.657675564378463
"0060","0045",111,0.639158139141484,1.95692131113547,0.701418520646423
"0073","0038",137,1.23226736654447,0.754190406083273,0.753683764543698
"0065","0034",137,0.595339704311229,0.549363550267603,0.755107003701005
"0065","0038",136,0.676957375549753,1.4700859774994,0.764632832851494
"0038","0034",139,0.770302220679757,0.27228725380869,0.767614144762181
"0045","0034",118,0.965925289018482,-0.0617726755014494,0.775569429257735
"0073","0045",116,1.03811057259818,0.559601693261627,0.779790716677761
"0073","0060",129,1.31993919025964,0.109301097554828,0.814867789914921
"0065","0060",129,0.735554887941874,0.621246707987636,0.855987859760051
"0073","0034",139,1.15586882751386,-0.595066031930206,0.860092801547398
"0060","0034",131,0.798189298740642,0.0686409859256749,0.869221026142569
"0060","0038",130,0.916286976373463,0.812101308026079,0.897401750158866
