latitude,longitude,device_number
41.43498,-81.81362,29
41.44404,-81.72271,22
41.446336,-81.650709,8
41.449672,-81.564,23
41.456319,-81.639257,1
41.46274,-81.65997,5
41.462862,-81.647249,19
41.46308,-81.69823,28
41.46717,-81.63003,25
41.47473,-81.72846,17
41.47473,-81.72846,30
41.476985,-81.682376,7
41.47918,-81.75257,18
41.47918,-81.75257,26
41.486323,-81.624582,21
41.489571,-81.71175,13
41.49211,-81.67856,9
41.49212,-81.67856,17
41.49409,-81.70976,12
41.49537,-81.63033,14
41.50541,-81.66791,6
41.50541,-81.66791,27
41.552492,-81.591944,15
41.56206,-81.564009,11
41.564906,-81.579597,24
41.569957,-81.541194,20
41.575635,-81.541699,3
41.57947,-81.56615,2
