location_name,latitude,longitude,device_number,device_eui,time,measure_name,value
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-09T19:34:08Z,mc_pm2_5,2.714
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-09T20:04:08Z,mc_pm2_5,1.518
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-09T20:34:08Z,mc_pm2_5,4.574
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-09T21:04:08Z,mc_pm2_5,3.054
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-09T21:34:08Z,mc_pm2_5,3.554
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-09T22:04:08Z,mc_pm2_5,3.811
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-09T22:34:08Z,mc_pm2_5,3.639
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-09T23:04:08Z,mc_pm2_5,0.917
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-09T23:34:08Z,mc_pm2_5,3.295
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T00:04:08Z,mc_pm2_5,5.377
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T00:34:08Z,mc_pm2_5,0.935
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T01:04:08Z,mc_pm2_5,3.194
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T01:34:08Z,mc_pm2_5,2.991
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T02:04:08Z,mc_pm2_5,3.254
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T02:34:08Z,mc_pm2_5,8.081
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T03:04:08Z,mc_pm2_5,9.555
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T03:34:08Z,mc_pm2_5,6.883
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T04:04:08Z,mc_pm2_5,13.818
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T04:34:08Z,mc_pm2_5,10.192
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T05:04:08Z,mc_pm2_5,5.293
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T05:34:08Z,mc_pm2_5,7.076
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T06:04:08Z,mc_pm2_5,4.927
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T06:34:08Z,mc_pm2_5,3.258
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T07:04:08Z,mc_pm2_5,6.662
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T07:34:08Z,mc_pm2_5,6.794
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T08:04:08Z,mc_pm2_5,5.729
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T08:34:08Z,mc_pm2_5,4.664
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T09:04:08Z,mc_pm2_5,3.577
