latitude,longitude,device_number,site_number
41.456319,-81.639257,1,1.1
41.57947,-81.56615,2,2.1
41.575635,-81.541699,3,3.1
41.46274,-81.65997,5,5.1
41.50541,-81.66791,6,6.1
41.476985,-81.682376,7,7.1
41.446336,-81.650709,8,8.1
41.49211,-81.67856,9,9.1_17.2
41.49212,-81.67856,17,9.1_17.2
41.56206,-81.564009,11,11.1
41.49409,-81.70976,12,12.1
41.489571,-81.71175,13,13.1
41.49537,-81.63033,14,14.1
41.552492,-81.591944,15,15.1
41.47918,-81.75257,18,18.1_26.1
41.47918,-81.75257,26,18.1_26.1
41.462862,-81.647249,19,19.1
41.569957,-81.541194,20,20.1
41.486323,-81.624582,21,21.1
41.44404,-81.72271,22,22.1
41.449672,-81.564,23,23.1
41.564906,-81.579597,24,24.1
41.46717,-81.63003,25,25.1
41.50541,-81.66791,27,27.1
41.46308,-81.69823,28,28.1
41.43498,-81.81362,29,29.1
41.47473,-81.72846,17,30.1_17.1
41.47473,-81.72846,30,30.1_17.1
