device_eui,location_name,device_number,device_status,latitude,longitude,datetime_utc,pm25,temperature_c,humidity,sensor_id,site_id
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-05T19:00:00Z,12.22,-28.8,36,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-05T20:00:00Z,9.404,-29,31,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-05T20:30:00Z,8.384,-29.7,37,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-05T21:00:00Z,9.404,-32.2,39,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-05T21:30:00Z,11.958,32.1,41,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-05T22:00:00Z,16.044,-31.9,40,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-05T22:30:00Z,7.016,-31.4,38,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-05T23:00:00Z,10.606,31.9,40,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-05T23:30:00Z,13.052,30.5,43,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T00:30:00Z,13.341,28,49,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T01:30:00Z,16.899,27.2,52,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T02:00:00Z,15.832,26.6,53,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T02:30:00Z,20.427,26,53,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T03:00:00Z,12.936,25.9,48,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T03:30:00Z,14.734,25.6,50,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T04:00:00Z,13.596,25.5,50,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T04:30:00Z,15.56,25.2,55,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T05:00:00Z,20.924,24.8,57,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T05:30:00Z,14.721,24.4,59,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T06:00:00Z,29.037,23.6,62,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T06:30:00Z,19.889,23,63,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T07:00:00Z,20.458,22.4,65,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T07:30:00Z,22.342,22,66,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T08:00:00Z,25.979,21.8,66,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T08:30:00Z,23.966,21.4,65,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T09:00:00Z,27.819,21.2,66,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T09:30:00Z,32.082,21,67,4.1,7.1_4.1
