site_number,epa_hour_end_utc,temperature,relative_humidity,wind_speed
0060,2024-11-01T04:00:00Z,63.3,75,9.5
0060,2024-11-01T05:00:00Z,60.1,69,11.5
0060,2024-11-01T06:00:00Z,54.1,71,12.2
0060,2024-11-01T07:00:00Z,50.9,70,11.7
0060,2024-11-01T08:00:00Z,48.9,69,10.1
0060,2024-11-01T09:00:00Z,48.6,68,9.5
0060,2024-11-01T10:00:00Z,47.7,69,9.3
0060,2024-11-01T11:00:00Z,47.1,71,8
0060,2024-11-01T12:00:00Z,47.5,70,7.8
0060,2024-11-01T13:00:00Z,48,69,7.8
0060,2024-11-01T14:00:00Z,48.6,68,8
0060,2024-11-01T15:00:00Z,48.9,68,8
0060,2024-11-01T16:00:00Z,49.6,67,8
0060,2024-11-01T17:00:00Z,50.4,66,8.2
0060,2024-11-01T18:00:00Z,50.5,66,8.5
0060,2024-11-01T19:00:00Z,50.9,66,8.4
0060,2024-11-01T20:00:00Z,51.1,68,8.4
0060,2024-11-01T21:00:00Z,51.4,66,8.5
0060,2024-11-01T22:00:00Z,51.6,64,5
0060,2024-11-01T23:00:00Z,51.6,63,5.6
0060,2024-11-02T00:00:00Z,51.6,61,5.4
0060,2024-11-02T01:00:00Z,51.4,61,6.6
0060,2024-11-02T02:00:00Z,51.1,63,5.8
0060,2024-11-02T03:00:00Z,50.9,60,4.5
0060,2024-11-02T04:00:00Z,50.5,64,5.2
0060,2024-11-02T05:00:00Z,49.8,64,4.9
0060,2024-11-02T06:00:00Z,49.6,63,3.9
0060,2024-11-02T07:00:00Z,49.5,63,4.3
0060,2024-11-02T08:00:00Z,49.1,62,4.3
0060,2024-11-02T09:00:00Z,48.2,65,1.7
0060,2024-11-02T10:00:00Z,44.6,79,3.1
0060,2024-11-02T11:00:00Z,44.4,79,2.9
0060,2024-11-02T12:00:00Z,45.7,75,3.1
0060,2024-11-02T13:00:00Z,49.5,66,3.1
0060,2024-11-02T14:00:00Z,53.2,55,2.1
0060,2024-11-02T15:00:00Z,54.3,53,3.7
0060,2024-11-02T16:00:00Z,53.2,57,5.6
0060,2024-11-02T17:00:00Z,53.1,58,5.8
0060,2024-11-02T18:00:00Z,53.1,58,5.4
0060,2024-11-02T19:00:00Z,52.7,59,5.2
0060,2024-11-02T20:00:00Z,52.3,61,5.4
0060,2024-11-02T21:00:00Z,51.3,66,4.9
0060,2024-11-02T22:00:00Z,50.2,70,4.9
0060,2024-11-02T23:00:00Z,48.6,73,5
0060,2024-11-03T00:00:00Z,47.1,75,3.3
0060,2024-11-03T01:00:00Z,45.9,76,3.3
0060,2024-11-03T02:00:00Z,44.6,78,2.9
0060,2024-11-03T03:00:00Z,43.9,79,3.1
0060,2024-11-03T04:00:00Z,43,81,2.3
0060,2024-11-03T06:00:00Z,42.3,81,4.3
0060,2024-11-03T07:00:00Z,41.5,82,4.9
0060,2024-11-03T08:00:00Z,41.2,82,5.4
0060,2024-11-03T09:00:00Z,40.8,81,5.2
0060,2024-11-03T10:00:00Z,41,79,5.4
0060,2024-11-03T11:00:00Z,41.4,75,5
0060,2024-11-03T12:00:00Z,41.4,75,4.3
0060,2024-11-03T13:00:00Z,45.3,65,4.9
0060,2024-11-03T14:00:00Z,48.6,58,7
0060,2024-11-03T15:00:00Z,53.1,46,8
0060,2024-11-03T16:00:00Z,58.1,32,8.2
0060,2024-11-03T17:00:00Z,61.5,29,8.5
0060,2024-11-03T18:00:00Z,63.1,28,8.7
0060,2024-11-03T19:00:00Z,64.4,27,8.7
0060,2024-11-03T20:00:00Z,64.4,28,7.8
0060,2024-11-03T21:00:00Z,63,30,6.8
0060,2024-11-03T22:00:00Z,61.3,33,4.5
0060,2024-11-03T23:00:00Z,60.3,35,5.8
0060,2024-11-04T00:00:00Z,58.8,37,5.8
0060,2024-11-04T01:00:00Z,58.5,38,8.7
0060,2024-11-04T02:00:00Z,57.9,40,8.9
0060,2024-11-04T03:00:00Z,57.4,42,9.5
0060,2024-11-04T04:00:00Z,56.8,45,9.1
0060,2024-11-04T05:00:00Z,56.7,49,8.9
0060,2024-11-04T06:00:00Z,56.7,51,11.3
0060,2024-11-04T07:00:00Z,56.7,52,11.3
0060,2024-11-04T08:00:00Z,56.7,54,12.2
0060,2024-11-04T09:00:00Z,56.5,55,12
0060,2024-11-04T10:00:00Z,56.8,57,12.8
0060,2024-11-04T11:00:00Z,57.4,57,11.8
0060,2024-11-04T12:00:00Z,57.4,58,12
0060,2024-11-04T13:00:00Z,58.1,58,11.7
0060,2024-11-04T14:00:00Z,59.7,56,12
0060,2024-11-04T15:00:00Z,63.5,52,10.5
0060,2024-11-04T16:00:00Z,69.1,47,10.5
0060,2024-11-04T17:00:00Z,71.2,46,13.4
0060,2024-11-04T18:00:00Z,72.1,45,12.6
0060,2024-11-04T19:00:00Z,72.3,45,12.2
0060,2024-11-04T20:00:00Z,73.6,45,13.2
0060,2024-11-04T21:00:00Z,72.1,48,10.3
0060,2024-11-04T22:00:00Z,71.8,48,11.1
0060,2024-11-04T23:00:00Z,71.1,49,10.7
0060,2024-11-05T00:00:00Z,70.3,48,12
0060,2024-11-05T01:00:00Z,70.2,47,12
0060,2024-11-05T02:00:00Z,70.5,47,12.8
0060,2024-11-05T03:00:00Z,70.2,48,10.3
0060,2024-11-05T04:00:00Z,69.8,48,10.3
0060,2024-11-05T05:00:00Z,69.4,50,11.8
0060,2024-11-05T06:00:00Z,68.7,54,9.9
0060,2024-11-05T07:00:00Z,68.4,58,9.3
0060,2024-11-05T08:00:00Z,68,60,10.3
0060,2024-11-05T09:00:00Z,67.5,62,11.1
0060,2024-11-05T10:00:00Z,66.7,63,11.1
0060,2024-11-05T11:00:00Z,66,64,11.5
0060,2024-11-05T12:00:00Z,65.8,64,12.2
0060,2024-11-05T13:00:00Z,67.8,61,13.8
0060,2024-11-05T14:00:00Z,69.4,58,14.8
0060,2024-11-05T15:00:00Z,71.6,55,14.8
0060,2024-11-05T16:00:00Z,73,52,15.1
0060,2024-11-05T17:00:00Z,74.3,51,14.4
0060,2024-11-05T18:00:00Z,75.6,50,12.8
0060,2024-11-05T19:00:00Z,77.5,46,11.8
0060,2024-11-05T20:00:00Z,77.5,43,13.6
0060,2024-11-05T21:00:00Z,76.6,46,11.5
0060,2024-11-05T22:00:00Z,75.2,49,9.3
0060,2024-11-05T23:00:00Z,73.9,50,7.6
0060,2024-11-06T00:00:00Z,73,51,8.4
0060,2024-11-06T01:00:00Z,72.9,50,8.5
0060,2024-11-06T02:00:00Z,72.7,49,8.4
0060,2024-11-06T03:00:00Z,73,48,10.9
0060,2024-11-06T04:00:00Z,72.1,50,11.3
0060,2024-11-06T05:00:00Z,72.1,51,11.7
