epa_site,cinc_site,distance_km,category,epa_hour_end_local,epa_hour_end_utc,epa_pm25_hourly,hour_start_utc,cinc_pm25_hourly,cinc_temperature_c_hourly,cinc_humidity_hourly,n_halfhour_obs,first_cinc_time,last_cinc_time,valid_cinc_hour,pair_label,epa_temperature,epa_relative_humidity,epa_wind_speed
0038,7.1_4.1,0,Collocated,2024-11-05T20:00:00Z,2024-11-05T20:00:00Z,6,2024-11-05T19:00:00Z,3.5410000000000004,38.55,25,2,2024-11-05T19:00:00Z,2024-11-05T19:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-05T21:00:00Z,2024-11-05T21:00:00Z,6,2024-11-05T20:00:00Z,4.517,28.95,37,2,2024-11-05T20:00:00Z,2024-11-05T20:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-06T03:00:00Z,2024-11-06T03:00:00Z,4.5,2024-11-06T02:00:00Z,3.75,20.65,56,2,2024-11-06T02:00:00Z,2024-11-06T02:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-06T04:00:00Z,2024-11-06T04:00:00Z,4.7,2024-11-06T03:00:00Z,2.5705,20.95,56,2,2024-11-06T03:00:00Z,2024-11-06T03:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-06T06:00:00Z,2024-11-06T06:00:00Z,5,2024-11-06T05:00:00Z,3.0675,21.55,54.5,2,2024-11-06T05:00:00Z,2024-11-06T05:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-06T07:00:00Z,2024-11-06T07:00:00Z,5.2,2024-11-06T06:00:00Z,2.8745,22,55,2,2024-11-06T06:00:00Z,2024-11-06T06:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-06T08:00:00Z,2024-11-06T08:00:00Z,6.1,2024-11-06T07:00:00Z,3.7829999999999995,19.95,71.5,2,2024-11-06T07:00:00Z,2024-11-06T07:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-06T09:00:00Z,2024-11-06T09:00:00Z,9.4,2024-11-06T08:00:00Z,5.231999999999999,18.2,84,2,2024-11-06T08:00:00Z,2024-11-06T08:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-06T11:00:00Z,2024-11-06T11:00:00Z,6.7,2024-11-06T10:00:00Z,8.294,17.9,87.5,2,2024-11-06T10:00:00Z,2024-11-06T10:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-06T12:00:00Z,2024-11-06T12:00:00Z,6.1,2024-11-06T11:00:00Z,9.41,17.65,89.5,2,2024-11-06T11:00:00Z,2024-11-06T11:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-06T13:00:00Z,2024-11-06T13:00:00Z,5.3,2024-11-06T12:00:00Z,8.5015,17.6,90,2,2024-11-06T12:00:00Z,2024-11-06T12:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-07T03:00:00Z,2024-11-07T03:00:00Z,6.6,2024-11-07T02:00:00Z,6.705,15.4,82,2,2024-11-07T02:00:00Z,2024-11-07T02:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-07T07:00:00Z,2024-11-07T07:00:00Z,3.1,2024-11-07T06:00:00Z,3.9939999999999998,14,81,2,2024-11-07T06:00:00Z,2024-11-07T06:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-07T08:00:00Z,2024-11-07T08:00:00Z,3.1,2024-11-07T07:00:00Z,3.243,13.4,79,2,2024-11-07T07:00:00Z,2024-11-07T07:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-07T09:00:00Z,2024-11-07T09:00:00Z,3.5,2024-11-07T08:00:00Z,2.8955,13.4,79,2,2024-11-07T08:00:00Z,2024-11-07T08:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-08T16:00:00Z,2024-11-08T16:00:00Z,8.4,2024-11-08T15:00:00Z,9.747,15.1,54,2,2024-11-08T15:00:00Z,2024-11-08T15:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-08T20:00:00Z,2024-11-08T20:00:00Z,5.7,2024-11-08T19:00:00Z,8.7455,16.7,44,2,2024-11-08T19:00:00Z,2024-11-08T19:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-09T08:00:00Z,2024-11-09T08:00:00Z,4.1,2024-11-09T07:00:00Z,1.2965,8.7,66,2,2024-11-09T07:00:00Z,2024-11-09T07:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-09T13:00:00Z,2024-11-09T13:00:00Z,5.7,2024-11-09T12:00:00Z,4.2700000000000005,NA,NA,2,2024-11-09T12:00:00Z,2024-11-09T12:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-09T19:00:00Z,2024-11-09T19:00:00Z,2.4,2024-11-09T18:00:00Z,1.2745000000000002,26.2,18,2,2024-11-09T18:00:00Z,2024-11-09T18:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-09T20:00:00Z,2024-11-09T20:00:00Z,2.6,2024-11-09T19:00:00Z,1.9899999999999998,19.1,24,2,2024-11-09T19:00:00Z,2024-11-09T19:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-10T04:00:00Z,2024-11-10T04:00:00Z,13,2024-11-10T03:00:00Z,4.859,9.6,42,2,2024-11-10T03:00:00Z,2024-11-10T03:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-10T05:00:00Z,2024-11-10T05:00:00Z,12.1,2024-11-10T04:00:00Z,17.2305,NA,NA,2,2024-11-10T04:00:00Z,2024-11-10T04:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-10T09:00:00Z,2024-11-10T09:00:00Z,7.4,2024-11-10T08:00:00Z,9.88,10.1,42,2,2024-11-10T08:00:00Z,2024-11-10T08:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-10T11:00:00Z,2024-11-10T11:00:00Z,8.8,2024-11-10T10:00:00Z,4.6055,10.5,44,2,2024-11-10T10:00:00Z,2024-11-10T10:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-10T19:00:00Z,2024-11-10T19:00:00Z,6.6,2024-11-10T18:00:00Z,14.043,13.9,91,2,2024-11-10T18:00:00Z,2024-11-10T18:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-11T02:00:00Z,2024-11-11T02:00:00Z,9.6,2024-11-11T01:00:00Z,25.712,NA,NA,2,2024-11-11T01:00:00Z,2024-11-11T01:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
0038,7.1_4.1,0,Collocated,2024-11-11T04:00:00Z,2024-11-11T04:00:00Z,2.2,2024-11-11T03:00:00Z,14.6845,14.649999999999999,90.5,2,2024-11-11T03:00:00Z,2024-11-11T03:30:00Z,TRUE,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)",NA,NA,NA
