site_id,latitude,longitude
1.1,41.456319,-81.639257
2.1,41.57947,-81.56615
3.1,41.575635,-81.541699
5.1_19.3_24.2,41.46274,-81.65997
7.1_4.1,41.476985,-81.682376
7.2,41.44539,-81.53876
8.1_34.2,41.446336,-81.650709
9.1_17.2,41.49211735298013,-81.67856
9.2,41.50604,-81.66306
11.1_32.1_18.2,41.56206,-81.564009
12.1_5.2,41.49409,-81.70976
13.1_33.2,41.489571,-81.71175
14.1,41.49537,-81.63033
15.1,41.552492,-81.591944
18.1_26.1,41.47918,-81.75257
19.1,41.462862,-81.647249
19.2,41.46491,-81.59068
20.1,41.569957,-81.541194
20.2,41.50459,-81.6439
21.1,41.486323,-81.624582
22.1,41.44404,-81.72271
23.1,41.449672,-81.564
24.1_1.2,41.564906,-81.579597
25.1,41.46717,-81.63003
27.1,41.50541,-81.66791
28.1,41.46308,-81.69823
29.1,41.43498,-81.81362
30.1_17.1,41.47473,-81.72846
31.2,41.47218,-81.69863
32.2,41.47214,-81.62353
33.1,41.4668,-81.70792
34.1_16.1,41.469970000000004,-81.72552
35.1,41.463988,-81.645973
35.2,41.54031,-81.60699
