site1,site2,lat1,lon1,lat2,lon2,distance_km
1.1,1.1,41.456319,-81.639257,41.456319,-81.639257,0
2.1,1.1,41.57947,-81.56615,41.456319,-81.639257,15.002339949577452
3.1,1.1,41.575635,-81.541699,41.456319,-81.639257,15.5737510555563
5.1_19.3_24.2,1.1,41.46274,-81.65997,41.456319,-81.639257,1.86999145518175
7.1_4.1,1.1,41.476985,-81.682376,41.456319,-81.639257,4.269612962314656
7.2,1.1,41.44539,-81.53876,41.456319,-81.639257,8.472928597230943
8.1_34.2,1.1,41.446336,-81.650709,41.456319,-81.639257,1.4656025309288108
9.1_17.2,1.1,41.49211735298013,-81.67856,41.456319,-81.639257,5.160114228731284
9.2,1.1,41.50604,-81.66306,41.456319,-81.639257,5.880133681316869
11.1_32.1_18.2,1.1,41.56206,-81.564009,41.456319,-81.639257,13.338106682073809
12.1_5.2,1.1,41.49409,-81.70976,41.456319,-81.639257,7.228918160008649
13.1_33.2,1.1,41.489571,-81.71175,41.456319,-81.639257,7.089576013670218
14.1,1.1,41.49537,-81.63033,41.456319,-81.639257,4.41043772321769
15.1,1.1,41.552492,-81.591944,41.456319,-81.639257,11.409426475048559
18.1_26.1,1.1,41.47918,-81.75257,41.456319,-81.639257,9.788589397577717
19.1,1.1,41.462862,-81.647249,41.456319,-81.639257,0.9874460008914547
19.2,1.1,41.46491,-81.59068,41.456319,-81.639257,4.1638052656565145
20.1,1.1,41.569957,-81.541194,41.456319,-81.639257,15.061302945908006
20.2,1.1,41.50459,-81.6439,41.456319,-81.639257,5.387436756184015
21.1,1.1,41.486323,-81.624582,41.456319,-81.639257,3.557258575294879
22.1,1.1,41.44404,-81.72271,41.456319,-81.639257,7.096003029410892
23.1,1.1,41.449672,-81.564,41.456319,-81.639257,6.322429892581427
24.1_1.2,1.1,41.564906,-81.579597,41.456319,-81.639257,13.070929473039506
25.1,1.1,41.46717,-81.63003,41.456319,-81.639257,1.4323371600865875
27.1,1.1,41.50541,-81.66791,41.456319,-81.639257,5.964400823508074
28.1,1.1,41.46308,-81.69823,41.456319,-81.639257,4.97707148939213
29.1,1.1,41.43498,-81.81362,41.456319,-81.639257,14.742063045314087
30.1_17.1,1.1,41.47473,-81.72846,41.456319,-81.639257,7.718200032953723
31.2,1.1,41.47218,-81.69863,41.456319,-81.639257,5.2581638862437545
32.2,1.1,41.47214,-81.62353,41.456319,-81.639257,2.19612238063149
33.1,1.1,41.4668,-81.70792,41.456319,-81.639257,5.8456802842319355
34.1_16.1,1.1,41.469970000000004,-81.72552,41.456319,-81.639257,7.354829157134805
35.1,1.1,41.463988,-81.645973,41.456319,-81.639257,1.0211429662498546
35.2,1.1,41.54031,-81.60699,41.456319,-81.639257,9.729183687711627
1.1,2.1,41.456319,-81.639257,41.57947,-81.56615,15.002339949577452
2.1,2.1,41.57947,-81.56615,41.57947,-81.56615,0
