site1,site2,lat1,lon1,lat2,lon2,distance_km
0034,0034,41.55523,-81.575256,41.55523,-81.575256,0
0038,0034,41.477011,-81.682383,41.55523,-81.575256,12.471955776650509
0045,0034,41.471782,-81.656792,41.55523,-81.575256,11.51022613676958
0060,0034,41.492117,-81.678449,41.55523,-81.575256,11.105289089955647
0065,0034,41.446624,-81.662356,41.55523,-81.575256,14.103180992825829
0073,0034,41.44013,-81.494833,41.55523,-81.575256,14.461388150184128
0034,0038,41.55523,-81.575256,41.477011,-81.682383,12.471955776650509
0038,0038,41.477011,-81.682383,41.477011,-81.682383,0
0045,0038,41.471782,-81.656792,41.477011,-81.682383,2.2123992092712634
0060,0038,41.492117,-81.678449,41.477011,-81.682383,1.713295563652518
0065,0038,41.446624,-81.662356,41.477011,-81.682383,3.772753869386704
0073,0038,41.44013,-81.494833,41.477011,-81.682383,16.176341992401582
0034,0045,41.55523,-81.575256,41.471782,-81.656792,11.51022613676958
0038,0045,41.477011,-81.682383,41.471782,-81.656792,2.2123992092712634
0045,0045,41.471782,-81.656792,41.471782,-81.656792,0
0060,0045,41.492117,-81.678449,41.471782,-81.656792,2.89591534671563
0065,0045,41.446624,-81.662356,41.471782,-81.656792,2.8387830175663153
0073,0045,41.44013,-81.494833,41.471782,-81.656792,13.964085827460671
0034,0060,41.55523,-81.575256,41.492117,-81.678449,11.105289089955647
0038,0060,41.477011,-81.682383,41.492117,-81.678449,1.713295563652518
0045,0060,41.471782,-81.656792,41.492117,-81.678449,2.89591534671563
0060,0060,41.492117,-81.678449,41.492117,-81.678449,0
0065,0060,41.446624,-81.662356,41.492117,-81.678449,5.239145014099664
0073,0060,41.44013,-81.494833,41.492117,-81.678449,16.37351954026828
0034,0065,41.55523,-81.575256,41.446624,-81.662356,14.103180992825829
0038,0065,41.477011,-81.682383,41.446624,-81.662356,3.772753869386704
0045,0065,41.471782,-81.656792,41.446624,-81.662356,2.8387830175663153
0060,0065,41.492117,-81.678449,41.446624,-81.662356,5.239145014099664
0065,0065,41.446624,-81.662356,41.446624,-81.662356,0
0073,0065,41.44013,-81.494833,41.446624,-81.662356,13.997839292614497
0034,0073,41.55523,-81.575256,41.44013,-81.494833,14.461388150184128
0038,0073,41.477011,-81.682383,41.44013,-81.494833,16.176341992401582
0045,0073,41.471782,-81.656792,41.44013,-81.494833,13.964085827460671
0060,0073,41.492117,-81.678449,41.44013,-81.494833,16.37351954026828
0065,0073,41.446624,-81.662356,41.44013,-81.494833,13.997839292614497
0073,0073,41.44013,-81.494833,41.44013,-81.494833,0
