site_number,date,frm_pm25,n_frm_obs
0034,2024-11-02,2.9,1
0034,2024-11-05,5.6,1
0034,2024-11-08,5.2,1
0034,2024-11-11,2.8,1
0034,2024-11-14,2.6,1
0034,2024-11-17,5.8,1
0034,2024-11-20,3.3,1
0034,2024-11-23,1.4,1
0034,2024-11-26,4,1
0034,2024-11-29,6.3,1
0034,2024-12-02,7.9,1
0034,2024-12-05,1.7,1
0034,2024-12-08,7.3,1
0034,2024-12-11,7,1
0034,2024-12-14,9.3,1
0034,2024-12-17,8.3,1
0034,2024-12-20,7.4,1
0034,2024-12-23,6.4,1
0034,2024-12-26,6.8,1
0034,2024-12-29,3.2,1
0034,2025-01-01,2.2,1
0034,2025-01-04,2.5,1
0034,2025-01-07,1.3,1
0034,2025-01-10,16.5,1
0034,2025-01-13,5.2,1
0034,2025-01-16,NA,1
0034,2025-01-19,2.2,1
0034,2025-01-22,8.4,1
0034,2025-01-25,14.5,1
0034,2025-01-28,5.2,1
0034,2025-01-31,7,1
0034,2025-02-03,13.8,1
0034,2025-02-06,7.7,1
0034,2025-02-09,7.2,1
0034,2025-02-12,14.6,1
0034,2025-02-15,8.9,1
0034,2025-02-18,3.7,1
0034,2025-02-21,4.4,1
0034,2025-02-24,9.5,1
0034,2025-02-27,12.7,1
0034,2025-03-02,2.9,1
0034,2025-03-05,4.2,1
0034,2025-03-08,2.9,1
0034,2025-03-11,5.5,1
0034,2025-03-14,10.3,1
0034,2025-03-17,2.8,1
0034,2025-03-20,4.6,1
0034,2025-03-23,3.9,1
0034,2025-03-26,4.2,1
0034,2025-03-29,11,1
0034,2025-04-01,3.9,1
0034,2025-04-04,4.4,1
0034,2025-04-07,5.9,1
0034,2025-04-10,8.9,1
0034,2025-04-13,7.2,1
0034,2025-04-16,4.2,1
0034,2025-04-19,8.8,1
0034,2025-04-22,3.7,1
0034,2025-04-25,5.5,1
0034,2025-04-28,4.3,1
0034,2025-05-01,6.8,1
0034,2025-05-04,3,1
0034,2025-05-07,4.6,1
0034,2025-05-10,7.2,1
0034,2025-05-13,6,1
0034,2025-05-16,12,1
0034,2025-05-19,5.7,1
0034,2025-05-22,0.6,1
0034,2025-05-25,13.3,1
0034,2025-05-28,3.9,1
0034,2025-05-31,6.4,1
0034,2025-06-03,16.6,1
0034,2025-06-06,26.8,1
0034,2025-06-09,13.9,1
0034,2025-06-12,18.9,1
0034,2025-06-15,11.7,1
0034,2025-06-18,6.3,1
0034,2025-06-21,9.2,1
0034,2025-06-24,17.3,1
0034,2025-06-27,12.5,1
0034,2025-06-30,8.2,1
0034,2025-07-03,15.9,1
0034,2025-07-06,12,1
