x_site,y_site,n,slope,intercept,r2,site1,site2,distance_km
3.1,2.1,131,1.1840782243547159,-0.5705615984223562,0.8707491513519322,2.1,3.1,2.0803926629053993
5.1_19.3_24.2,2.1,21,1.3247232781409672,-1.9525694859992595,0.8996445174136198,2.1,5.1_19.3_24.2,15.165671332843907
7.1_4.1,2.1,14,0.9504806817427829,0.99143002352056,0.706135824260882,2.1,7.1_4.1,14.965719606798347
7.2,2.1,27,0.7452272517435904,0.4586733368949665,0.831263598003004,2.1,7.2,15.099332474548447
8.1_34.2,2.1,24,1.1090507382514783,-0.9394023055151056,0.9478241251276385,2.1,8.1_34.2,16.411176075884224
9.1_17.2,2.1,94,0.9759788731326907,0.32885502229363966,0.8020166730420757,2.1,9.1_17.2,13.501644864058012
9.2,2.1,24,1.2654930959611035,-0.7940444728804689,0.9861437493038817,2.1,9.2,11.489687088915334
12.1_5.2,2.1,61,1.0103884004370542,-0.8847085730970243,0.9218230053602443,12.1_5.2,2.1,15.281703402247961
13.1_33.2,2.1,57,0.6236391811220677,1.1845007417202713,0.5655191281017979,13.1_33.2,2.1,15.727437724465418
14.1,2.1,45,0.9133158264045116,-0.5125071727425542,0.9441542706034348,14.1,2.1,10.781721511678713
15.1,2.1,37,2.834280442121352,-2.986082509362152,0.9481771439536969,15.1,2.1,3.692484100050361
18.1_26.1,2.1,118,0.8199217493672025,0.408745014698396,0.9097493840375003,18.1_26.1,2.1,19.13084305746904
20.1,2.1,60,1.1154595696647363,-1.2929615588706673,0.9311970979264435,2.1,20.1,2.332514342312717
20.2,2.1,18,1.0858862522666632,-0.7273995552498608,0.9725104000534823,2.1,20.2,10.556877507291127
21.1,2.1,106,0.9780310842166261,-0.6547398843587937,0.9179847892716134,2.1,21.1,11.45542724595717
22.1,2.1,44,0.7277960588419954,0.8348366916950742,0.8739330251605203,2.1,22.1,19.939976778309546
23.1,2.1,105,0.943111455299677,-0.31181626178388244,0.8964399902914371,2.1,23.1,14.45015861281849
24.1_1.2,2.1,96,1.0790827675859165,0.03127085308914897,0.9296399532914766,2.1,24.1_1.2,1.970427811061847
25.1,2.1,14,1.4865742355927654,-2.466397580537541,0.9246736327870706,2.1,25.1,13.587646013151732
27.1,2.1,31,1.2304676339060587,-1.9232559178518505,0.9455786704272018,2.1,27.1,11.82598657151762
28.1,2.1,107,0.723541473260396,2.1960165239946083,0.7144809763405466,2.1,28.1,17.00157530296387
29.1,2.1,44,0.7860525062979048,0.21962203019570511,0.9042667394313169,2.1,29.1,26.15937823151824
30.1_17.1,2.1,34,0.9932572659271992,-0.5470045899090124,0.8581538629580742,2.1,30.1_17.1,17.858243402393978
31.2,2.1,31,0.765643219391803,0.013430352279837155,0.8926816360000454,2.1,31.2,16.264923106740444
32.2,2.1,24,0.8379568983034992,-0.613416049858175,0.916871863537411,2.1,32.2,12.869376942933634
34.1_16.1,2.1,21,0.8072835457476999,-0.5114980889958403,0.8854041459991928,2.1,34.1_16.1,18.02771643613747
35.2,2.1,28,1.0957329784481757,-0.47490835374842766,0.9869774469964222,2.1,35.2,5.5295214788075056
5.1_19.3_24.2,3.1,138,0.9499206971692022,-0.6115954277689741,0.9225193101778466,3.1,5.1_19.3_24.2,15.972307497304223
7.1_4.1,3.1,45,0.47267680740414203,2.859753119572099,0.6364447550657464,3.1,7.1_4.1,16.063868478416996
7.2,3.1,71,0.7133506303667946,0.7083176885131256,0.7734377097183528,3.1,7.2,14.50087683349434
8.1_34.2,3.1,69,0.783018446305621,0.4075285107390172,0.845822233451449,3.1,8.1_34.2,17.02192856753213
9.1_17.2,3.1,306,0.7794194486579995,0.4614326959066093,0.8430021110769299,3.1,9.1_17.2,14.713988605660939
9.2,3.1,55,1.170394811089403,-0.21620397690704563,0.9434741994861907,3.1,9.2,12.738550040833173
11.1_32.1_18.2,3.1,10,1.0514050028566213,-0.32770386429430365,0.9624768621264924,11.1_32.1_18.2,3.1,2.395010680704145
12.1_5.2,3.1,183,0.7872039850834983,0.5607478377967885,0.9136366462280872,12.1_5.2,3.1,16.68895378785856
13.1_33.2,3.1,137,0.33093166458336626,4.650491067975433,0.2496658595845337,13.1_33.2,3.1,17.105355785960775
14.1,3.1,230,0.7990690135909475,0.20960626916764075,0.9019118842738215,14.1,3.1,11.592220002571228
15.1,3.1,126,2.3553922355918506,-1.971202773865585,0.9013849481477769,15.1,3.1,4.9143608958515035
18.1_26.1,3.1,337,0.6537776567819119,0.985930256867758,0.7960260919430937,18.1_26.1,3.1,20.594186215143658
20.1,3.1,122,0.8759250917302913,0.15814604538291324,0.9693841616828874,20.1,3.1,0.6334696703049534
20.2,3.1,62,1.0030470676254324,-0.38308177967756163,0.9472101309604135,20.2,3.1,11.621625679152205
21.1,3.1,336,0.8658380814971486,-0.18971396391760972,0.9380509665164477,21.1,3.1,12.105878567651477
22.1,3.1,222,0.7122558230831902,0.7601066566004067,0.815790321893344,22.1,3.1,21.030441231480626
23.1,3.1,340,0.7023964436822381,0.8792519586533654,0.7618673863723346,23.1,3.1,14.144822473163371
24.1_1.2,3.1,286,0.9267249262774556,0.31880336291858785,0.9593729878271633,24.1_1.2,3.1,3.3746700063880173
25.1,3.1,40,1.0326006340198068,-0.22158544609513584,0.9267758536855815,25.1,3.1,14.141683867161039
27.1,3.1,64,0.9250952726780012,0.17012333122631831,0.9663064694892836,27.1,3.1,13.103402168741233
28.1,3.1,259,0.47226422293825554,4.437053180429941,0.3685932922789152,28.1,3.1,18.08877956839103
29.1,3.1,229,0.8177740834654819,-0.23494684923775774,0.8531582188134125,29.1,3.1,27.550846267055945
30.1_17.1,3.1,56,0.6180504415005601,1.711265158587134,0.7377152433173179,3.1,30.1_17.1,19.194719623890126
31.2,3.1,81,0.7654324983463965,0.05895226549879356,0.861482193409766,3.1,31.2,17.426762757412252
32.2,3.1,59,0.7985294980919848,-0.15833083398003422,0.9382794856824043,3.1,32.2,13.388284635129846
34.1_16.1,3.1,117,0.7012281766595818,1.2080016843200265,0.8713101836254986,3.1,34.1_16.1,19.315067669305805
35.2,3.1,70,0.9953773017222398,0.010261911777662702,0.965181704068021,3.1,35.2,6.711365468132094
7.2,5.1_19.3_24.2,23,0.7026851403743406,1.3157721359850574,0.7520421445175188,5.1_19.3_24.2,7.2,10.295630721039558
8.1_34.2,5.1_19.3_24.2,16,0.9703921232177288,0.44898814983899743,0.9243589993495844,5.1_19.3_24.2,8.1_34.2,1.982824645053918
9.1_17.2,5.1_19.3_24.2,137,0.8769051809560144,-0.02914165617816452,0.9651344045775708,5.1_19.3_24.2,9.1_17.2,3.6191956209336307
9.2,5.1_19.3_24.2,20,1.1785924548993223,0.10252592475948895,0.9620102916587713,5.1_19.3_24.2,9.2,4.827017015683856
12.1_5.2,5.1_19.3_24.2,45,0.8239590507871337,1.379169008255731,0.9301622529119561,12.1_5.2,5.1_19.3_24.2,5.4242768550311435
13.1_33.2,5.1_19.3_24.2,34,0.05162799935752066,10.912528398741632,0.006843446117702375,13.1_33.2,5.1_19.3_24.2,5.250894685799509
14.1,5.1_19.3_24.2,138,0.8039278401485503,1.50272406259597,0.9190621084676788,14.1,5.1_19.3_24.2,4.393713190377589
15.1,5.1_19.3_24.2,56,2.2775864818110385,-0.0657653012502274,0.8445694261752537,15.1,5.1_19.3_24.2,11.488341244184214
18.1_26.1,5.1_19.3_24.2,109,0.7824786003720557,0.6838502222198025,0.8426240917528635,18.1_26.1,5.1_19.3_24.2,7.937685927443782
20.2,5.1_19.3_24.2,17,1.0143967411474444,0.5522106109459329,0.9209746445504753,20.2,5.1_19.3_24.2,4.847646304352731
21.1,5.1_19.3_24.2,117,0.9476869388756702,0.41614488896913965,0.9763607508579932,21.1,5.1_19.3_24.2,3.950155675017782
22.1,5.1_19.3_24.2,130,0.715959525585409,2.093371077533353,0.8550593402766863,22.1,5.1_19.3_24.2,5.633337366271805
23.1,5.1_19.3_24.2,110,0.92734793499628565,0.13540321749204776,0.8856558534210294,23.1,5.1_19.3_24.2,8.137829527498726
24.1_1.2,5.1_19.3_24.2,100,0.9981481485064486,1.0104784122233166,0.9551682546539536,24.1_1.2,5.1_19.3_24.2,13.199636835475811
25.1,5.1_19.3_24.2,24,1.0931243435422981,0.18921521571534813,0.9818357340679279,25.1,5.1_19.3_24.2,2.5457696946888935
27.1,5.1_19.3_24.2,17,0.9849876681574307,0.08419404977965274,0.9858500768263696,27.1,5.1_19.3_24.2,4.79593206590399
28.1,5.1_19.3_24.2,47,5.6562098290347,-6.300880173783215,0.9090574259901724,28.1,5.1_19.3_24.2,3.191915727773041
29.1,5.1_19.3_24.2,138,0.8854269994974437,0.2604710721109247,0.9339147244251327,29.1,5.1_19.3_24.2,13.187602625942358
31.2,5.1_19.3_24.2,23,0.894273043712295,-0.32349330201401993,0.9706493242085501,31.2,5.1_19.3_24.2,3.3917324606312635
32.2,5.1_19.3_24.2,23,0.8166827110212933,0.06783931120539541,0.9720164679902282,32.2,5.1_19.3_24.2,3.2147235106457352
34.1_16.1,5.1_19.3_24.2,67,0.6767222941699871,2.9586338576540863,0.8699785267127357,34.1_16.1,5.1_19.3_24.2,5.52687812008256
35.2,5.1_19.3_24.2,23,0.9908799277345656,0.6555222167017007,0.9562813299043335,35.2,5.1_19.3_24.2,9.699183886015822
9.1_17.2,7.1_4.1,13,0.7043185189489309,2.874721531868496,0.9374961193423295,7.1_4.1,9.1_17.2,1.7143210741750328
12.1_5.2,7.1_4.1,36,0.7020523997388072,1.897913992091258,0.8962278165007741,12.1_5.2,7.1_4.1,2.973302773544435
13.1_33.2,7.1_4.1,34,0.5398906308101719,2.5896929908147444,0.5469949328535427,13.1_33.2,7.1_4.1,2.8220086695717472
18.1_26.1,7.1_4.1,32,1.473959346456162,-3.1623638147432733,0.9079751196482315,18.1_26.1,7.1_4.1,5.859387381706464
20.1,7.1_4.1,12,1.0842043225221252,0.05263474476775072,0.7221424342127868,20.1,7.1_4.1,15.670537487100917
21.1,7.1_4.1,38,0.8959703259527464,0.7402263334019424,0.9317287114978671,21.1,7.1_4.1,4.930666352655471
23.1,7.1_4.1,42,1.066495927067192,-1.0866878236606308,0.7624943338377744,23.1,7.1_4.1,10.332468757047554
24.1_1.2,7.1_4.1,43,0.8844612421278956,1.4456486001742133,0.8839488355648685,24.1_1.2,7.1_4.1,13.00662894302925
28.1,7.1_4.1,37,0.8557060896555335,0.5635513977996532,0.8850755023011401,28.1,7.1_4.1,2.0358689768087346
8.1_34.2,7.2,19,1.1451713035012983,-0.7867402392497646,0.9616934072121457,7.2,8.1_34.2,9.341956475744682
9.1_17.2,7.2,65,0.8799041491564673,0.4722731462205385,0.7945586511240634,7.2,9.1_17.2,12.768762412571634
9.2,7.2,43,1.4044575029976907,0.4424686566234599,0.865734072373302,7.2,9.2,12.371814739465055
12.1_5.2,7.2,20,1.0669691189582822,0.6693231528398612,0.845376848029576,12.1_5.2,7.2,15.259015086592255
13.1_33.2,7.2,32,0.2816217863114483,4.925131182163991,0.2936343673991662,13.1_33.2,7.2,15.245114858591828
14.1,7.2,72,0.9065591761438551,0.6813834952225938,0.79046470282408,14.1,7.2,9.449559277483962
15.1,7.2,69,2.916411106912776,-2.0194571774202044,0.8053462872733623,15.1,7.2,12.720420127825477
18.1_26.1,7.2,72,0.876078172735942,0.8075961330495111,0.8409724262419499,18.1_26.1,7.2,18.228743487676816
20.2,7.2,40,1.2295292989054991,0.5397944876542947,0.8238803847440943,20.2,7.2,10.969480307002902
21.1,7.2,61,0.9731685239505159,0.6714373369570468,0.8243312914702312,21.1,7.2,8.48615481024974
22.1,7.2,62,0.9179491165533173,0.6475951993222203,0.89881951821864,22.1,7.2,15.3503493635634
23.1,7.2,24,0.9584232789892276,0.4064913671842185,0.8954640088024362,23.1,7.2,2.1593174877224213
28.1,7.2,70,5.787991681326899,-5.889266151554333,0.8292166461058151,28.1,7.2,13.449883133575566
