x_site,y_site,n,slope,intercept,r2
2.1,2.1,134,1.0000000000000002,-1.876363944103168e-15,1
3.1,2.1,131,1.1840782243547159,-0.5705615984223562,0.8707491513519322
5.1_19.3_24.2,2.1,21,1.3247232781409672,-1.9525694859992595,0.8996445174136198
7.1_4.1,2.1,14,0.9504806817427829,0.99143002352056,0.706135824260882
7.2,2.1,27,0.7452272517435904,0.4586733368949665,0.831263598003004
8.1_34.2,2.1,24,1.1090507382514783,-0.9394023055151056,0.9478241251276385
9.1_17.2,2.1,94,0.9759788731326907,0.32885502229363966,0.8020166730420757
9.2,2.1,24,1.2654930959611035,-0.7940444728804689,0.9861437493038817
12.1_5.2,2.1,61,1.0103884004370542,-0.8847085730970243,0.9218230053602443
13.1_33.2,2.1,57,0.6236391811220677,1.1845007417202713,0.5655191281017979
14.1,2.1,45,0.9133158264045116,-0.5125071727425542,0.9441542706034348
15.1,2.1,37,2.834280442121352,-2.986082509362152,0.9481771439536969
18.1_26.1,2.1,118,0.8199217493672025,0.408745014698396,0.9097493840375003
20.1,2.1,60,1.1154595696647363,-1.2929615588706673,0.9311970979264435
20.2,2.1,18,1.0858862522666632,-0.7273995552498608,0.9725104000534823
21.1,2.1,106,0.9780310842166261,-0.6547398843587937,0.9179847892716134
22.1,2.1,44,0.7277960588419954,0.8348366916950742,0.8739330251605203
23.1,2.1,105,0.943111455299677,-0.31181626178388244,0.8964399902914371
24.1_1.2,2.1,96,1.0790827675859165,0.03127085308914897,0.9296399532914766
25.1,2.1,14,1.4865742355927654,-2.466397580537541,0.9246736327870706
27.1,2.1,31,1.2304676339060587,-1.9232559178518505,0.9455786704272018
28.1,2.1,107,0.723541473260396,2.1960165239946083,0.7144809763405466
29.1,2.1,44,0.7860525062979048,0.21962203019570511,0.9042667394313169
30.1_17.1,2.1,34,0.9932572659271992,-0.5470045899090124,0.8581538629580742
31.2,2.1,31,0.765643219391803,0.013430352279837155,0.8926816360000454
32.2,2.1,24,0.8379568983034992,-0.613416049858175,0.916871863537411
34.1_16.1,2.1,21,0.8072835457476999,-0.5114980889958403,0.8854041459991928
35.2,2.1,28,1.0957329784481757,-0.47490835374842766,0.9869774469964222
2.1,3.1,131,0.7353814413962914,1.4002980481891574,0.8707491513519322
3.1,3.1,419,1,1.3884913663162919e-15,1
5.1_19.3_24.2,3.1,138,0.9499206971692022,-0.6115954277689741,0.9225193101778466
7.1_4.1,3.1,45,0.47267680740414203,2.859753119572099,0.6364447550657464
7.2,3.1,71,0.7133506303667946,0.7083176885131256,0.7734377097183528
8.1_34.2,3.1,69,0.783018446305621,0.4075285107390172,0.845822233451449
9.1_17.2,3.1,306,0.7794194486579995,0.4614326959066093,0.8430021110769299
9.2,3.1,55,1.170394811089403,-0.21620397690704563,0.9434741994861907
11.1_32.1_18.2,3.1,10,1.0514050028566213,-0.32770386429430365,0.9624768621264924
12.1_5.2,3.1,183,0.7872039850834983,0.5607478377967885,0.9136366462280872
13.1_33.2,3.1,137,0.33093166458336626,4.650491067975433,0.2496658595845337
14.1,3.1,230,0.7990690135909475,0.20960626916764075,0.9019118842738215
15.1,3.1,126,2.3553922355918506,-1.971202773865585,0.9013849481477769
18.1_26.1,3.1,337,0.6537776567819119,0.985930256867758,0.7960260919430937
20.1,3.1,122,0.8759250917302913,0.15814604538291324,0.9693841616828874
20.2,3.1,62,1.0030470676254324,-0.38308177967756163,0.9472101309604135
21.1,3.1,336,0.8658380814971486,-0.18971396391760972,0.9380509665164477
22.1,3.1,222,0.7122558230831902,0.7601066566004067,0.815790321893344
23.1,3.1,340,0.7023964436822381,0.8792519586533654,0.7618673863723346
24.1_1.2,3.1,286,0.9267249262774556,0.31880336291858785,0.9593729878271633
25.1,3.1,40,1.0326006340198068,-0.22158544609513584,0.9267758536855815
27.1,3.1,64,0.9250952726780012,0.17012333122631831,0.9663064694892836
28.1,3.1,259,0.47226422293825554,4.437053180429941,0.3685932922789152
29.1,3.1,229,0.8177740834654819,-0.23494684923775774,0.8531582188134125
30.1_17.1,3.1,56,0.6180504415005601,1.711265158587134,0.7377152433173179
31.2,3.1,81,0.7654324983463965,0.05895226549879356,0.861482193409766
32.2,3.1,59,0.7985294980919848,-0.15833083398003422,0.9382794856824043
34.1_16.1,3.1,117,0.7012281766595818,1.2080016843200265,0.8713101836254986
35.2,3.1,70,0.9953773017222398,0.010261911777662702,0.965181704068021
2.1,5.1_19.3_24.2,21,0.6791188259906807,1.9232799601695514,0.89964451741362
3.1,5.1_19.3_24.2,138,0.9711540267803269,1.4814896442068164,0.9225193101778466
5.1_19.3_24.2,5.1_19.3_24.2,138,1,-0,1
7.2,5.1_19.3_24.2,23,0.7026851403743406,1.3157721359850574,0.7520421445175188
8.1_34.2,5.1_19.3_24.2,16,0.9703921232177288,0.44898814983899743,0.9243589993495844
9.1_17.2,5.1_19.3_24.2,137,0.8769051809560144,-0.02914165617816452,0.9651344045775708
9.2,5.1_19.3_24.2,20,1.1785924548993223,0.10252592475948895,0.9620102916587713
12.1_5.2,5.1_19.3_24.2,45,0.8239590507871337,1.379169008255731,0.9301622529119561
13.1_33.2,5.1_19.3_24.2,34,0.05162799935752066,10.912528398741632,0.006843446117702375
14.1,5.1_19.3_24.2,138,0.8039278401485503,1.50272406259597,0.9190621084676788
15.1,5.1_19.3_24.2,56,2.2775864818110385,-0.0657653012502274,0.8445694261752537
18.1_26.1,5.1_19.3_24.2,109,0.7824786003720557,0.6838502222198025,0.8426240917528635
20.2,5.1_19.3_24.2,17,1.0143967411474444,0.5522106109459329,0.9209746445504753
21.1,5.1_19.3_24.2,117,0.9476869388756702,0.41614488896913965,0.9763607508579932
22.1,5.1_19.3_24.2,130,0.715959525585409,2.093371077533353,0.8550593402766863
23.1,5.1_19.3_24.2,110,0.92734793499628565,0.13540321749204776,0.8856558534210294
