site_id,total_days,valid_days,invalid_days,percent_valid
1.1,160,0,160,0
2.1,391,134,257,34.3
3.1,427,419,8,98.1
5.1_19.3_24.2,170,138,32,81.2
7.1_4.1,412,47,365,11.4
7.2,84,72,12,85.7
8.1_34.2,391,69,322,17.6
9.1_17.2,323,311,12,96.3
9.2,71,55,16,77.5
11.1_32.1_18.2,293,10,283,3.4
12.1_5.2,322,186,136,57.8
13.1_33.2,224,140,84,62.5
14.1,234,233,1,99.6
15.1,417,128,289,30.7
18.1_26.1,380,341,39,89.7
19.1,166,0,166,0
19.2,58,1,57,1.7
20.1,148,124,24,83.8
20.2,89,62,27,69.7
21.1,419,340,79,81.1
22.1,238,225,13,94.5
23.1,413,346,67,83.8
24.1_1.2,324,290,34,89.5
25.1,383,41,342,10.7
27.1,194,65,129,33.5
28.1,275,263,12,95.6
29.1,237,231,6,97.5
30.1_17.1,135,58,77,43
31.2,85,83,2,97.6
32.2,65,61,4,93.8
33.1,93,0,93,0
34.1_16.1,210,118,92,56.2
35.1,86,0,86,0
35.2,73,71,2,97.3
